100, 109, 83, 49, 86
200, 276, 186, 146, 189
300, 448, 266, 270, 267
400, 619, 315, 433, 270
500, 790, 363, 648, 236
600, 963, 446, 945, 249
700, 1134, 544, 1270, 291
800, 1305, 650, 932, 348
900, 1476, 761, 1129, 416
1000, 1646, 872, 1360, 488
